StationUniqueId,AreaName,Lat,Lon,Name
940GZZLUASG,A-BOW,51.61606,-0.1334,Arnos Grove
940GZZLUASL,A-GIL,51.5584,-0.10568,Arsenal
940GZZLUBBB,A-SLS,51.52473,-0.01144,Bromley-by-Bow
940GZZLUBBN,A-ALD,51.52031,-0.09753,Barbican
940GZZLUBDS,A-BOU,51.60693,-0.12456,Bounds Green
940GZZLUBEC,A-GAL,51.5404,0.12751,Becontree
940GZZLUBKE,BookH,51.58581,0.0885,Barkingside
940GZZLUBKH,A-VIC,51.62662,0.04653,Buckhurst Hill
940GZZLUBLG,A-ROM,51.52732,-0.05527,Bethnal Green
940GZZLUBMY,A-JAM,51.49814,-0.06363,Bermondsey
940GZZLUBOR,A-BOR,51.50123,-0.0934,Borough
940GZZLUBOS,A-BOS,51.49585,-0.32446,Boston Manor
940GZZLUBSC,A-BAR,51.49037,-0.21355,Barons Court
940GZZLUBST,A-M-N,51.52246,-0.15695,Baker Street
940GZZLUBTK,A-WAT,51.60259,-0.26398,Burnt Oak
940GZZLUBTX,A-HIG,51.57674,-0.21319,Brent Cross
940GZZLUBWR,A-BOW,51.52712,-0.02501,Bow Road
940GZZLUBWT,A-QUE,51.51239,-0.18769,Bayswater
940GZZLUBZP,A-BEL,51.55041,-0.16447,Belsize Park
940GZZLUCAR,A-CAL,51.54857,-0.11812,Caledonian Road
940GZZLUCFM,A-HAV,51.54395,-0.15351,Chalk Farm
940GZZLUCGN,A-LON,51.51307,-0.12423,Covent Garden
940GZZLUCHL,A-H/G,51.51818,-0.11111,Chancery Lane
940GZZLUCKS,A-C-E,51.65155,-0.14981,Cockfosters
940GZZLUCND,A-COL,51.59533,-0.24992,Colindale
940GZZLUCPC,A-CLA,51.46181,-0.13847,Clapham Common
940GZZLUCPK,A-W-R,51.60756,-0.29444,Canons Park
940GZZLUCPN,A-BED,51.46518,-0.12955,Clapham North
940GZZLUCPS,A-BAL,51.4529,-0.14767,Clapham South
940GZZLUCSD,A-COL,51.41805,-0.17819,Colliers Wood
940GZZLUCSM,A-STA,51.7055,-0.61105,Chesham
940GZZLUCTN,A-KEN,51.5393,-0.14249,Camden Town
940GZZLUCWL,A-HIG,51.61784,0.0743,Chigwell
